issue_id,issue_type,status,priority,assignee,created_at,resolved_at,time_spent_hours,comments,description
PROJ-232,Task,Done,Low,eve,2025-07-03 17:25:21,2025-07-04 16:25:21,5.0,8,Generated bug related to project feature development.
PROJ-233,Task,Done,Critical,dave,2025-07-03 21:25:21,2025-07-08 23:25:21,70.0,16,Generated story related to project feature development.
PROJ-234,Bug,Done,Low,eve,2025-07-04 23:25:21,2025-07-13 03:25:21,89.0,12,Generated task related to project feature development.
PROJ-235,Epic,Done,Medium,dave,2025-07-05 09:25:21,2025-07-11 06:25:21,95.0,0,Generated task related to project feature development.
PROJ-236,Task,Done,Medium,dave,2025-07-07 08:25:21,2025-07-16 09:25:21,89.0,5,Generated bug related to project feature development.
PROJ-237,Story,Done,Low,bob,2025-07-07 10:25:21,2025-07-13 02:25:21,106.0,17,Generated story related to project feature development.
PROJ-238,Epic,Done,High,alice,2025-07-07 13:25:21,2025-07-09 23:25:21,100.0,15,Generated story related to project feature development.
PROJ-239,Task,Done,High,charlie,2025-07-08 22:25:21,2025-07-13 10:25:21,102.0,11,Generated bug related to project feature development.
PROJ-240,Story,Done,High,dave,2025-07-10 06:25:21,2025-07-18 10:25:21,42.0,15,Generated epic related to project feature development.
PROJ-241,Story,Done,Critical,charlie,2025-07-11 05:25:21,2025-07-18 11:25:21,22.0,12,Generated task related to project feature development.
PROJ-242,Story,Done,High,dave,2025-07-11 22:25:21,2025-07-15 13:25:21,117.0,6,Generated epic related to project feature development.
PROJ-243,Bug,Done,Medium,bob,2025-07-12 19:25:21,2025-07-18 19:25:21,112.0,18,Generated epic related to project feature development.
PROJ-244,Bug,Done,Medium,charlie,2025-07-14 15:25:21,2025-07-16 18:25:21,19.0,7,Generated task related to project feature development.
PROJ-245,Epic,Review,High,dave,2025-07-16 04:25:21,,,12,Generated story related to project feature development.
PROJ-246,Bug,Done,Medium,bob,2025-07-16 14:25:21,2025-07-19 10:25:21,58.0,11,Generated story related to project feature development.
PROJ-247,Bug,Done,Low,eve,2025-07-16 21:25:21,2025-07-20 13:25:21,37.0,15,Generated task related to project feature development.
PROJ-248,Story,Done,High,bob,2025-07-17 10:25:21,,,18,Generated epic related to project feature development.
PROJ-249,Epic,To Do,Medium,charlie,2025-07-18 06:25:21,,,7,Generated bug related to project feature development.
PROJ-250,Story,Done,Low,eve,2025-07-19 15:25:21,2025-07-22 23:25:21,72.0,6,Generated task related to project feature development.
PROJ-251,Epic,Done,Medium,alice,2025-07-20 23:25:21,2025-07-24 12:25:21,115.0,4,Generated story related to project feature development.
PROJ-252,Bug,Done,High,dave,2025-07-22 08:25:21,2025-07-26 03:25:21,58.0,0,Generated bug related to project feature development.
PROJ-253,Bug,Review,Medium,alice,2025-07-23 19:25:21,,,0,Generated epic related to project feature development.
PROJ-254,Bug,Done,Medium,bob,2025-07-24 18:25:21,2025-08-03 01:25:21,2.0,0,Generated story related to project feature development.
PROJ-255,Task,Done,Medium,charlie,2025-07-25 22:25:21,2025-08-04 02:25:21,102.0,10,Generated bug related to project feature development.
PROJ-256,Story,To Do,High,eve,2025-07-27 06:25:21,,,18,Generated bug related to project feature development.
PROJ-257,Story,Done,High,alice,2025-07-28 18:25:21,2025-07-31 15:25:21,95.0,19,Generated task related to project feature development.
PROJ-258,Epic,To Do,Low,alice,2025-07-30 04:25:21,,,7,Generated bug related to project feature development.
PROJ-259,Task,To Do,Low,dave,2025-07-30 14:25:21,,,3,Generated bug related to project feature development.
PROJ-260,Epic,Done,Medium,eve,2025-07-31 12:25:21,2025-08-07 22:25:21,90.0,19,Generated bug related to project feature development.
PROJ-261,Bug,Done,High,dave,2025-08-01 04:25:21,2025-08-10 13:25:21,67.0,0,Generated bug related to project feature development.
PROJ-262,Task,Done,Critical,charlie,2025-08-01 22:25:21,2025-08-06 23:25:21,96.0,17,Generated bug related to project feature development.
PROJ-263,Story,Done,Critical,bob,2025-08-03 10:25:21,2025-08-04 14:25:21,15.0,3,Generated story related to project feature development.
PROJ-264,Story,To Do,Medium,dave,2025-08-05 10:25:21,,,2,Generated task related to project feature development.
PROJ-265,Story,Done,Low,dave,2025-08-06 18:25:21,2025-08-12 21:25:21,38.0,9,Generated task related to project feature development.
PROJ-266,Task,Done,Low,alice,2025-08-07 14:25:21,2025-08-15 13:25:21,43.0,10,Generated task related to project feature development.
PROJ-267,Epic,Review,Critical,dave,2025-08-08 17:25:21,,,9,Generated task related to project feature development.
PROJ-268,Epic,Done,Critical,eve,2025-08-08 22:25:21,,,5,Generated epic related to project feature development.
PROJ-269,Story,Done,Critical,dave,2025-08-10 17:25:21,2025-08-20 17:25:21,43.0,7,Generated epic related to project feature development.
PROJ-270,Bug,Done,High,charlie,2025-08-12 10:25:21,2025-08-20 15:25:21,113.0,9,Generated bug related to project feature development.
PROJ-271,Story,Done,Low,eve,2025-08-12 14:25:21,,,13,Generated epic related to project feature development.
PROJ-272,Story,Done,Critical,alice,2025-08-12 16:25:21,2025-08-14 15:25:21,17.0,13,Generated story related to project feature development.
PROJ-273,Bug,Done,Low,charlie,2025-08-13 18:25:21,2025-08-16 04:25:21,81.0,16,Generated bug related to project feature development.
PROJ-274,Bug,To Do,High,bob,2025-08-14 03:25:21,,,0,Generated bug related to project feature development.
PROJ-275,Task,Done,Critical,bob,2025-08-14 21:25:21,2025-08-20 18:25:21,98.0,8,Generated story related to project feature development.
PROJ-276,Bug,Review,High,alice,2025-08-16 20:25:21,,,18,Generated bug related to project feature development.
PROJ-277,Bug,Done,Critical,alice,2025-08-18 14:25:21,2025-08-20 14:25:21,79.0,5,Generated story related to project feature development.
PROJ-278,Bug,Done,Critical,bob,2025-08-19 17:25:21,,,2,Generated task related to project feature development.
PROJ-279,Task,In Progress,High,charlie,2025-08-19 22:25:21,,,9,Generated task related to project feature development.
PROJ-280,Epic,In Progress,Medium,alice,2025-08-21 11:25:21,,,16,Generated bug related to project feature development.
PROJ-281,Story,Done,Medium,dave,2025-08-23 08:25:21,2025-08-25 16:25:21,26.0,12,Generated epic related to project feature development.
PROJ-282,Epic,Done,Critical,dave,2025-08-23 09:25:21,2025-08-28 23:25:21,97.0,0,Generated bug related to project feature development.
PROJ-283,Epic,In Progress,Medium,eve,2025-08-24 02:25:21,,,2,Generated epic related to project feature development.
PROJ-284,Task,Done,Critical,eve,2025-08-24 15:25:21,2025-08-29 12:25:21,31.0,8,Generated bug related to project feature development.
PROJ-285,Epic,In Progress,High,bob,2025-08-24 19:25:21,,,16,Generated task related to project feature development.
PROJ-286,Bug,Done,Medium,bob,2025-08-26 12:25:21,2025-09-05 11:25:21,50.0,1,Generated bug related to project feature development.
PROJ-287,Bug,Done,Medium,alice,2025-08-27 00:25:21,2025-08-29 15:25:21,66.0,12,Generated epic related to project feature development.
PROJ-288,Task,Done,Low,alice,2025-08-27 10:25:21,2025-08-28 21:25:21,60.0,20,Generated story related to project feature development.
PROJ-289,Bug,Done,Low,charlie,2025-08-28 10:25:21,2025-09-04 12:25:21,106.0,9,Generated epic related to project feature development.
PROJ-290,Bug,Review,Low,eve,2025-08-29 01:25:21,,,6,Generated task related to project feature development.
PROJ-291,Task,Done,Low,alice,2025-08-30 16:25:21,2025-09-07 10:25:21,9.0,7,Generated task related to project feature development.
PROJ-292,Task,Done,Medium,dave,2025-08-31 15:25:21,,,8,Generated bug related to project feature development.
PROJ-293,Bug,Done,High,bob,2025-09-01 09:25:21,2025-09-02 09:25:21,45.0,10,Generated epic related to project feature development.
PROJ-294,Task,Done,High,alice,2025-09-03 01:25:21,2025-09-06 02:25:21,51.0,0,Generated story related to project feature development.
PROJ-295,Story,Review,Medium,eve,2025-09-05 00:25:21,,,15,Generated epic related to project feature development.
PROJ-296,Story,Done,Critical,bob,2025-09-06 01:25:21,2025-09-13 21:25:21,36.0,5,Generated story related to project feature development.
PROJ-297,Story,Done,Critical,charlie,2025-09-07 19:25:21,2025-09-10 02:25:21,113.0,9,Generated epic related to project feature development.
PROJ-298,Epic,Done,Critical,dave,2025-09-08 17:25:21,2025-09-09 16:25:21,75.0,1,Generated bug related to project feature development.
PROJ-299,Bug,Done,Medium,dave,2025-09-09 03:25:21,2025-09-18 03:25:21,81.0,15,Generated task related to project feature development.
PROJ-300,Story,Done,High,dave,2025-09-09 13:25:21,2025-09-12 19:25:21,61.0,20,Generated epic related to project feature development.
PROJ-301,Story,Done,Low,bob,2025-09-11 01:25:21,,,11,Generated epic related to project feature development.
PROJ-302,Epic,Done,Low,bob,2025-09-11 02:25:21,2025-09-15 15:25:21,114.0,11,Generated task related to project feature development.
PROJ-303,Epic,Done,Low,eve,2025-09-12 20:25:21,2025-09-16 09:25:21,6.0,13,Generated task related to project feature development.
PROJ-304,Epic,In Progress,Critical,alice,2025-09-13 18:25:21,,,13,Generated story related to project feature development.
PROJ-305,Bug,Done,Critical,alice,2025-09-15 08:25:21,,,3,Generated task related to project feature development.
PROJ-306,Story,Done,Critical,charlie,2025-09-15 23:25:21,2025-09-21 14:25:21,38.0,2,Generated task related to project feature development.
PROJ-307,Task,To Do,Low,charlie,2025-09-17 08:25:21,,,2,Generated epic related to project feature development.
PROJ-308,Story,Done,High,eve,2025-09-18 12:25:21,2025-09-24 08:25:21,116.0,18,Generated epic related to project feature development.
PROJ-309,Bug,Done,Medium,charlie,2025-09-18 13:25:21,2025-09-24 09:25:21,30.0,9,Generated epic related to project feature development.
PROJ-310,Task,Done,High,charlie,2025-09-19 02:25:21,2025-09-19 13:25:21,3.0,1,Generated bug related to project feature development.
PROJ-311,Bug,Done,High,charlie,2025-09-20 13:25:21,2025-09-26 09:25:21,23.0,4,Generated bug related to project feature development.
PROJ-312,Bug,Done,Medium,charlie,2025-09-22 13:25:21,2025-09-30 22:25:21,57.0,19,Generated story related to project feature development.
PROJ-313,Task,Done,High,alice,2025-09-23 23:25:21,2025-10-02 09:25:21,29.0,16,Generated story related to project feature development.
PROJ-314,Bug,Done,High,eve,2025-09-25 16:25:21,2025-09-30 00:25:21,34.0,20,Generated task related to project feature development.
PROJ-315,Task,Done,Critical,eve,2025-09-26 16:25:21,,,19,Generated story related to project feature development.
PROJ-316,Story,To Do,Medium,eve,2025-09-28 15:25:21,,,12,Generated bug related to project feature development.
PROJ-317,Epic,Done,Critical,alice,2025-09-28 23:25:21,2025-10-04 15:25:21,5.0,5,Generated epic related to project feature development.
PROJ-318,Task,Done,High,bob,2025-09-29 16:25:21,2025-10-06 01:25:21,11.0,6,Generated story related to project feature development.
PROJ-319,Bug,In Progress,High,alice,2025-10-01 00:25:21,,,3,Generated bug related to project feature development.
PROJ-320,Task,Done,Medium,dave,2025-10-02 10:25:21,2025-10-09 00:25:21,101.0,20,Generated bug related to project feature development.
PROJ-321,Bug,Done,Medium,dave,2025-10-02 11:25:21,2025-10-10 02:25:21,44.0,20,Generated bug related to project feature development.
PROJ-322,Epic,Done,Critical,dave,2025-10-04 01:25:21,2025-10-13 20:25:21,16.0,18,Generated task related to project feature development.
PROJ-323,Epic,Done,Low,eve,2025-10-05 09:25:21,2025-10-09 23:25:21,16.0,3,Generated story related to project feature development.
PROJ-324,Epic,Done,Critical,alice,2025-10-07 07:25:21,2025-10-11 15:25:21,10.0,18,Generated epic related to project feature development.
PROJ-325,Bug,Done,Medium,eve,2025-10-09 00:25:21,2025-10-15 04:25:21,20.0,5,Generated bug related to project feature development.
PROJ-326,Story,To Do,Critical,bob,2025-10-10 15:25:21,,,10,Generated bug related to project feature development.
PROJ-327,Story,Done,Critical,dave,2025-10-12 11:25:21,2025-10-21 16:25:21,61.0,14,Generated task related to project feature development.
PROJ-328,Story,Done,Low,bob,2025-10-13 04:25:21,2025-10-16 05:25:21,58.0,9,Generated epic related to project feature development.
PROJ-329,Bug,Done,Critical,charlie,2025-10-13 18:25:21,2025-10-20 07:25:21,47.0,12,Generated epic related to project feature development.
PROJ-330,Story,Done,Critical,eve,2025-10-15 06:25:21,2025-10-19 01:25:21,49.0,2,Generated epic related to project feature development.
PROJ-331,Bug,Done,Low,eve,2025-10-16 00:25:21,2025-10-23 02:25:21,116.0,4,Generated task related to project feature development.
PROJ-332,Epic,Done,Critical,bob,2025-10-16 02:25:21,,,3,Generated epic related to project feature development.
PROJ-333,Bug,Done,Critical,charlie,2025-10-16 09:25:21,2025-10-24 01:25:21,105.0,1,Generated epic related to project feature development.
PROJ-334,Bug,Done,Critical,dave,2025-10-17 10:25:21,2025-10-21 01:25:21,46.0,4,Generated epic related to project feature development.
PROJ-335,Story,Done,High,dave,2025-10-18 08:25:21,2025-10-26 01:25:21,110.0,20,Generated story related to project feature development.
PROJ-336,Epic,Done,High,alice,2025-10-19 20:25:21,2025-10-28 00:25:21,35.0,6,Generated epic related to project feature development.
PROJ-337,Bug,Done,Medium,charlie,2025-10-21 13:25:21,2025-10-30 12:25:21,8.0,14,Generated bug related to project feature development.
PROJ-338,Epic,Done,High,dave,2025-10-22 11:25:21,2025-10-25 07:25:21,89.0,0,Generated bug related to project feature development.
PROJ-339,Task,To Do,Low,dave,2025-10-23 14:25:21,,,8,Generated bug related to project feature development.
PROJ-340,Bug,Done,Low,bob,2025-10-23 19:25:21,2025-10-27 17:25:21,21.0,18,Generated task related to project feature development.
PROJ-341,Bug,Done,Low,bob,2025-10-25 17:25:21,2025-11-01 14:25:21,4.0,3,Generated story related to project feature development.
PROJ-342,Bug,In Progress,Medium,dave,2025-10-27 11:25:21,,,10,Generated bug related to project feature development.
PROJ-343,Task,Done,Low,charlie,2025-10-27 16:25:21,2025-11-04 03:25:21,82.0,5,Generated story related to project feature development.
PROJ-344,Story,In Progress,Critical,charlie,2025-10-28 15:25:21,,,11,Generated epic related to project feature development.
PROJ-345,Task,Done,Critical,bob,2025-10-29 05:25:21,2025-11-01 14:25:21,108.0,12,Generated epic related to project feature development.
PROJ-346,Task,Review,Medium,bob,2025-10-31 05:25:21,,,6,Generated story related to project feature development.
PROJ-347,Bug,Done,High,alice,2025-11-01 20:25:21,,,13,Generated bug related to project feature development.
PROJ-348,Task,Done,Critical,dave,2025-11-03 16:25:21,2025-11-12 04:25:21,44.0,0,Generated bug related to project feature development.
PROJ-349,Epic,Done,Low,dave,2025-11-05 00:25:21,2025-11-10 07:25:21,16.0,11,Generated task related to project feature development.
PROJ-350,Bug,Done,Critical,eve,2025-11-06 08:25:21,,,5,Generated story related to project feature development.
PROJ-351,Epic,Done,Low,bob,2025-11-07 23:25:21,2025-11-11 04:25:21,1.0,18,Generated task related to project feature development.
PROJ-352,Task,In Progress,High,bob,2025-11-09 15:25:21,,,11,Generated story related to project feature development.
PROJ-353,Story,Done,Critical,dave,2025-11-10 18:25:21,2025-11-20 05:25:21,52.0,15,Generated task related to project feature development.
PROJ-354,Task,In Progress,Medium,dave,2025-11-11 06:25:21,,,2,Generated task related to project feature development.
PROJ-355,Bug,Done,Low,dave,2025-11-13 06:25:21,2025-11-14 20:25:21,118.0,20,Generated task related to project feature development.
PROJ-356,Bug,Done,High,charlie,2025-11-14 20:25:21,2025-11-18 16:25:21,2.0,4,Generated bug related to project feature development.
PROJ-357,Task,Done,Critical,dave,2025-11-16 16:25:21,2025-11-23 00:25:21,31.0,8,Generated task related to project feature development.
PROJ-358,Story,Done,Medium,dave,2025-11-17 15:25:21,2025-11-23 21:25:21,51.0,7,Generated story related to project feature development.
PROJ-359,Task,Done,Critical,alice,2025-11-17 16:25:21,2025-11-19 13:25:21,76.0,19,Generated epic related to project feature development.
PROJ-360,Story,To Do,Low,charlie,2025-11-18 01:25:21,,,9,Generated story related to project feature development.
PROJ-361,Bug,Done,Medium,dave,2025-11-18 23:25:21,2025-11-22 04:25:21,92.0,8,Generated bug related to project feature development.
PROJ-362,Story,Done,High,charlie,2025-11-19 14:25:21,2025-11-27 02:25:21,74.0,5,Generated task related to project feature development.
PROJ-363,Epic,Done,Critical,bob,2025-11-20 10:25:21,,,17,Generated bug related to project feature development.
PROJ-364,Bug,Review,High,dave,2025-11-20 18:25:21,,,3,Generated epic related to project feature development.
PROJ-365,Task,To Do,High,alice,2025-11-21 02:25:21,,,3,Generated story related to project feature development.
PROJ-366,Epic,Done,Medium,charlie,2025-11-21 06:25:21,2025-11-27 14:25:21,67.0,0,Generated story related to project feature development.
PROJ-367,Bug,Review,High,charlie,2025-11-22 21:25:21,,,3,Generated epic related to project feature development.
PROJ-368,Bug,Done,Low,bob,2025-11-23 22:25:21,2025-11-25 20:25:21,31.0,17,Generated epic related to project feature development.
PROJ-369,Story,In Progress,Low,alice,2025-11-25 18:25:21,,,16,Generated task related to project feature development.
PROJ-370,Bug,Done,High,dave,2025-11-26 05:25:21,2025-11-30 05:25:21,56.0,18,Generated epic related to project feature development.
PROJ-371,Story,Done,Critical,alice,2025-11-27 08:25:21,2025-11-30 04:25:21,116.0,5,Generated story related to project feature development.
PROJ-372,Epic,Done,Critical,bob,2025-11-28 04:25:21,2025-12-07 15:25:21,96.0,14,Generated bug related to project feature development.
PROJ-373,Story,Done,Low,charlie,2025-11-29 15:25:21,2025-12-05 14:25:21,54.0,19,Generated story related to project feature development.
PROJ-374,Bug,Review,Critical,charlie,2025-11-30 23:25:21,,,13,Generated bug related to project feature development.
PROJ-375,Story,Done,Critical,eve,2025-12-01 12:25:21,2025-12-09 02:25:21,24.0,20,Generated task related to project feature development.
PROJ-376,Story,Done,Critical,eve,2025-12-03 00:25:21,2025-12-06 07:25:21,113.0,1,Generated task related to project feature development.
PROJ-377,Bug,To Do,Medium,bob,2025-12-04 18:25:21,,,2,Generated epic related to project feature development.
PROJ-378,Story,In Progress,High,dave,2025-12-06 12:25:21,,,11,Generated task related to project feature development.
PROJ-379,Task,Done,High,dave,2025-12-07 04:25:21,2025-12-07 18:25:21,25.0,11,Generated task related to project feature development.
PROJ-380,Bug,Done,Low,bob,2025-12-08 07:25:21,2025-12-17 17:25:21,80.0,0,Generated bug related to project feature development.
PROJ-381,Task,Review,High,dave,2025-12-09 04:25:21,,,18,Generated bug related to project feature development.
PROJ-382,Bug,In Progress,Medium,dave,2025-12-09 16:25:21,,,14,Generated task related to project feature development.
PROJ-383,Bug,Done,High,dave,2025-12-10 20:25:21,2025-12-12 04:25:21,96.0,19,Generated story related to project feature development.
PROJ-384,Task,Review,High,bob,2025-12-10 21:25:21,,,20,Generated task related to project feature development.
PROJ-385,Task,Done,Critical,bob,2025-12-12 13:25:21,2025-12-18 05:25:21,36.0,19,Generated task related to project feature development.
PROJ-386,Bug,Done,Critical,charlie,2025-12-12 21:25:21,2025-12-16 08:25:21,85.0,18,Generated bug related to project feature development.
PROJ-387,Task,In Progress,Medium,charlie,2025-12-13 09:25:21,,,18,Generated story related to project feature development.
PROJ-388,Task,In Progress,Critical,alice,2025-12-14 18:25:21,,,15,Generated epic related to project feature development.
PROJ-389,Bug,Done,Critical,charlie,2025-12-16 03:25:21,2025-12-22 23:25:21,51.0,20,Generated task related to project feature development.
PROJ-390,Story,Done,Low,alice,2025-12-16 16:25:21,2025-12-17 22:25:21,93.0,9,Generated epic related to project feature development.
PROJ-391,Bug,Done,Critical,charlie,2025-12-17 10:25:21,2025-12-20 04:25:21,15.0,2,Generated task related to project feature development.
PROJ-392,Story,Review,Critical,charlie,2025-12-17 22:25:21,,,18,Generated bug related to project feature development.
PROJ-393,Story,Done,Medium,eve,2025-12-18 02:25:21,2025-12-27 21:25:21,7.0,9,Generated task related to project feature development.
PROJ-394,Epic,Done,Medium,bob,2025-12-19 22:25:21,2025-12-25 07:25:21,101.0,18,Generated task related to project feature development.
PROJ-395,Task,Done,Low,dave,2025-12-21 01:25:21,2025-12-25 02:25:21,52.0,3,Generated task related to project feature development.
PROJ-396,Bug,Done,Critical,bob,2025-12-22 04:25:21,2025-12-29 19:25:21,7.0,17,Generated task related to project feature development.
PROJ-397,Task,Done,Critical,eve,2025-12-23 06:25:21,2025-12-24 07:25:21,107.0,11,Generated epic related to project feature development.
PROJ-398,Task,In Progress,High,alice,2025-12-23 07:25:21,,,18,Generated epic related to project feature development.
PROJ-399,Epic,Done,Critical,charlie,2025-12-24 10:25:21,2025-12-26 04:25:21,58.0,17,Generated epic related to project feature development.
PROJ-400,Task,Done,High,bob,2025-12-26 08:25:21,,,7,Generated task related to project feature development.
PROJ-401,Story,Done,High,bob,2025-12-26 18:25:21,2025-12-30 07:25:21,57.0,7,Generated task related to project feature development.
PROJ-402,Bug,Done,Critical,charlie,2025-12-28 15:25:21,2026-01-05 12:25:21,14.0,6,Generated epic related to project feature development.
PROJ-403,Task,Done,Medium,eve,2025-12-30 02:25:21,2026-01-07 16:25:21,2.0,18,Generated task related to project feature development.
PROJ-404,Epic,To Do,Low,charlie,2025-12-31 06:25:21,,,5,Generated epic related to project feature development.
PROJ-405,Story,Done,Low,eve,2025-12-31 15:25:21,2026-01-02 12:25:21,49.0,11,Generated epic related to project feature development.
PROJ-406,Bug,Done,Medium,bob,2026-01-01 15:25:21,2026-01-03 18:25:21,67.0,18,Generated epic related to project feature development.
PROJ-407,Task,Done,Low,charlie,2026-01-01 19:25:21,2026-01-05 10:25:21,29.0,19,Generated bug related to project feature development.
PROJ-408,Story,Done,Low,alice,2026-01-03 08:25:21,2026-01-06 05:25:21,62.0,14,Generated task related to project feature development.
PROJ-409,Epic,Done,High,bob,2026-01-05 08:25:21,2026-01-11 00:25:21,29.0,4,Generated epic related to project feature development.
PROJ-410,Story,Done,Low,alice,2026-01-06 18:25:21,2026-01-12 03:25:21,115.0,19,Generated task related to project feature development.
PROJ-411,Bug,Done,Critical,alice,2026-01-07 01:25:21,2026-01-10 22:25:21,71.0,18,Generated epic related to project feature development.
PROJ-412,Story,Done,Critical,bob,2026-01-08 12:25:21,,,7,Generated story related to project feature development.
PROJ-413,Bug,Done,Low,alice,2026-01-10 03:25:21,2026-01-16 19:25:21,36.0,2,Generated task related to project feature development.
PROJ-414,Bug,To Do,Low,dave,2026-01-11 03:25:21,,,19,Generated task related to project feature development.
PROJ-415,Task,Review,High,bob,2026-01-11 11:25:21,,,20,Generated bug related to project feature development.
PROJ-416,Task,Done,High,charlie,2026-01-13 08:25:21,,,1,Generated epic related to project feature development.
PROJ-417,Bug,Done,Low,bob,2026-01-13 17:25:21,2026-01-18 06:25:21,63.0,0,Generated story related to project feature development.
PROJ-418,Story,Done,Low,charlie,2026-01-14 12:25:21,2026-01-16 11:25:21,92.0,5,Generated epic related to project feature development.
PROJ-419,Epic,Done,Critical,alice,2026-01-14 22:25:21,2026-01-24 16:25:21,112.0,1,Generated bug related to project feature development.
PROJ-420,Bug,Done,Critical,charlie,2026-01-16 12:25:21,2026-01-21 22:25:21,20.0,13,Generated bug related to project feature development.
PROJ-421,Story,Done,Low,eve,2026-01-18 07:25:21,2026-01-19 10:25:21,57.0,9,Generated epic related to project feature development.
PROJ-422,Task,Review,Medium,alice,2026-01-18 21:25:21,,,19,Generated bug related to project feature development.
PROJ-423,Bug,Done,Low,bob,2026-01-19 15:25:21,2026-01-20 05:25:21,119.0,6,Generated story related to project feature development.
PROJ-424,Task,Done,Critical,charlie,2026-01-20 20:25:21,2026-01-30 16:25:21,59.0,15,Generated task related to project feature development.
PROJ-425,Task,Done,High,charlie,2026-01-21 07:25:21,2026-01-26 03:25:21,113.0,11,Generated epic related to project feature development.
PROJ-426,Epic,Done,High,alice,2026-01-21 23:25:21,2026-01-27 20:25:21,96.0,12,Generated epic related to project feature development.
PROJ-427,Story,Done,Low,eve,2026-01-22 05:25:21,2026-01-29 16:25:21,112.0,11,Generated task related to project feature development.
PROJ-428,Epic,Done,Critical,alice,2026-01-23 04:25:21,2026-01-29 21:25:21,78.0,20,Generated task related to project feature development.
PROJ-429,Bug,Done,High,charlie,2026-01-24 11:25:21,2026-02-02 20:25:21,70.0,19,Generated story related to project feature development.
PROJ-430,Epic,Done,Medium,bob,2026-01-25 22:25:21,2026-01-26 10:25:21,105.0,0,Generated story related to project feature development.
PROJ-431,Bug,Done,Medium,charlie,2026-01-26 08:25:21,2026-01-28 20:25:21,23.0,3,Generated bug related to project feature development.
PROJ-432,Epic,Done,High,eve,2026-01-27 08:25:21,2026-01-27 23:25:21,62.0,18,Generated bug related to project feature development.
PROJ-433,Bug,To Do,Low,eve,2026-01-28 13:25:21,,,14,Generated task related to project feature development.
PROJ-434,Epic,Done,High,alice,2026-01-28 16:25:21,2026-02-02 23:25:21,32.0,7,Generated task related to project feature development.
PROJ-435,Story,Done,High,eve,2026-01-29 16:25:21,2026-02-05 16:25:21,50.0,18,Generated epic related to project feature development.
PROJ-436,Epic,Done,Critical,dave,2026-01-30 10:25:21,2026-02-08 01:25:21,84.0,2,Generated epic related to project feature development.
PROJ-437,Story,Done,High,alice,2026-01-31 01:25:21,2026-02-03 15:25:21,2.0,6,Generated bug related to project feature development.
PROJ-438,Story,Done,Low,bob,2026-02-01 20:25:21,2026-02-08 18:25:21,53.0,13,Generated bug related to project feature development.
PROJ-439,Bug,Done,Low,alice,2026-02-03 13:25:21,,,15,Generated task related to project feature development.
PROJ-440,Story,Done,Medium,bob,2026-02-04 05:25:21,2026-02-05 12:25:21,53.0,12,Generated epic related to project feature development.
PROJ-441,Bug,Review,Medium,bob,2026-02-05 01:25:21,,,14,Generated task related to project feature development.
PROJ-442,Story,Done,Critical,eve,2026-02-05 11:25:21,2026-02-10 15:25:21,62.0,19,Generated task related to project feature development.
PROJ-443,Story,Done,High,charlie,2026-02-06 20:25:21,2026-02-08 00:25:21,55.0,10,Generated epic related to project feature development.
PROJ-444,Bug,Done,High,dave,2026-02-08 16:25:21,2026-02-17 05:25:21,24.0,17,Generated task related to project feature development.
PROJ-445,Task,Done,Low,bob,2026-02-10 10:25:21,2026-02-17 23:25:21,27.0,16,Generated story related to project feature development.
PROJ-446,Epic,To Do,Low,eve,2026-02-12 05:25:21,,,2,Generated bug related to project feature development.
PROJ-447,Epic,Done,Low,charlie,2026-02-13 04:25:21,2026-02-19 19:25:21,87.0,4,Generated story related to project feature development.
PROJ-448,Epic,Review,Low,eve,2026-02-13 06:25:21,,,6,Generated epic related to project feature development.
PROJ-449,Epic,Review,Low,eve,2026-02-14 08:25:21,,,12,Generated bug related to project feature development.
PROJ-450,Task,Done,Critical,charlie,2026-02-15 06:25:21,2026-02-24 04:25:21,67.0,20,Generated bug related to project feature development.
PROJ-451,Epic,Done,Critical,bob,2026-02-17 02:25:21,2026-02-21 05:25:21,58.0,3,Generated story related to project feature development.
PROJ-452,Epic,Done,Critical,eve,2026-02-17 04:25:21,2026-02-21 03:25:21,42.0,9,Generated story related to project feature development.
PROJ-453,Bug,Done,Medium,alice,2026-02-18 06:25:21,2026-02-24 20:25:21,20.0,0,Generated story related to project feature development.
PROJ-454,Story,Done,Low,eve,2026-02-18 19:25:21,2026-02-21 08:25:21,24.0,8,Generated story related to project feature development.
PROJ-455,Bug,Done,Medium,charlie,2026-02-20 00:25:21,2026-02-23 11:25:21,10.0,16,Generated epic related to project feature development.
PROJ-456,Bug,To Do,Medium,eve,2026-02-21 23:25:21,,,9,Generated task related to project feature development.
PROJ-457,Story,Done,Medium,charlie,2026-02-23 06:25:21,2026-02-24 20:25:21,41.0,9,Generated task related to project feature development.
PROJ-458,Epic,Done,High,bob,2026-02-23 11:25:21,2026-02-27 02:25:21,10.0,7,Generated bug related to project feature development.
PROJ-459,Bug,Done,Medium,bob,2026-02-23 18:25:21,2026-03-01 02:25:21,24.0,20,Generated bug related to project feature development.
PROJ-460,Task,Done,Medium,eve,2026-02-23 23:25:21,2026-02-24 10:25:21,97.0,18,Generated story related to project feature development.
PROJ-461,Epic,Done,Low,charlie,2026-02-25 05:25:21,2026-03-03 17:25:21,49.0,4,Generated task related to project feature development.
PROJ-462,Bug,Done,Critical,dave,2026-02-26 01:25:21,2026-03-04 20:25:21,108.0,8,Generated bug related to project feature development.
